id,description,en
print.certificate.review.modal.body.print,Print certificate modal body text,A PDF of the certificate will open in a new tab for you to print. This record will then be moved to your ready to issue work-queue
print.certificate.review.modal.body.printAndIssue,Print certificate modal body text,This will generate a certified copy of the record for printing.
print.certificate.review.printAndIssueModalTitle,Print and issue certificate modal title text,Print certified copy?
print.certificate.review.printModalTitle,Print certificate modal title text,Print certificate?
print.certificate.review.title,Certificate review title,Ready to certify?
print.certificate.section.title,The title of print certificate action,Certify record
print.certificate.selectSignature,The label for choose signature select,Select e-signatures
print.certificate.serviceMonth,The label for service paragraph,"Service: <strong>Birth registration after {service, plural, =0 {0 month} one {1 month} other{{service} months}} of D.o.B.</strong><br/>Amount Due:"
print.certificate.toast.message,Floating Toast message upon certificate ready to print,Certificate is ready to print
print.certificate.userReviewed,,The informant has reviewed and confirmed that the information on the certificate is correct.
print.declaration.civilRegistrationOffice,Label for declaration details table entry,Civil registration office
print.declaration.informantAttestation,Text for declaration details table entry,"I attest to having received this {eventType, select, birth{birth} death{death} marriage{marriage} other{}} declaration"
print.declaration.placeOfDeclaration,Label for declaration details table entry,Place of declaration
print.declaration.warning.declarationDetails,Warning text that shows before declaration details,To be completed by office
printAction.description,The description for print action,Please confirm that the informant has reviewed that the information on the certificate is correct and that it is ready to print.
printAction.title,The title for print action,Print certificate
record-corrected.summary.section.title,Make corrections section title,Correction(s)
record.certificate.collectedInAdvance,Table column header showing collector info in record audit,Printed in advance by
record.certificate.collector,Table column header showing collector info in record audit,Printed on collection
recordAudit.archive.confirmation.body,Confirmation body for archiving a declaration,This will remove the declaration from the workqueue and change the status to Archive. To revert this change you will need to search for the declaration.
recordAudit.archive.confirmation.title,Confirmation title for archiving a declaration,Archive declaration?
recordAudit.archive.status,Archived status,Archived
recordAudit.contact,Contact for record audit,Contact
recordAudit.dateOfBirth,Label for date of birth,Date of birth
recordAudit.dateOfDeath,Label for date of death,Date of death
recordAudit.dateOfMarriage,Label for date of marriage,Date of marriage
recordAudit.declaration.markAsDuplicate,,Marked as a duplicate
recordAudit.declaration.reinstateDialog.actions.cancel,Button label for the dialog when cancel reinstate declaration,Cancel
recordAudit.declaration.reinstateDialog.actions.confirm,Button label for the dialog when confirm reinstate declaration,Confirm
recordAudit.declaration.reinstateDialogDescription,Description for the dialog when reinstate declaration,This will revert the application back to its original status and add it to your workqueue.
