id,name,partOf,locationType
CRVS_MGT1020150162,CEC BELOBAKA,Location/MGT1020150162,CRVS_OFFICE
CRVS_MGT1020150163,CEC BEMAHATAZANA,Location/MGT1020150163,CRVS_OFFICE
CRVS_MGT1020150164,CEC BEVATO,Location/MGT1020150164,CRVS_OFFICE
CRVS_MGT1020150165,CEC FIERENANA,Location/MGT1020150165,CRVS_OFFICE
CRVS_MGT1020150166,CEC MAHASOLO,Location/MGT1020150166,CRVS_OFFICE
CRVS_MGT1020150167,CEC MAROHARONA,Location/MGT1020150167,CRVS_OFFICE
CRVS_MGT1020150168,CEC MARITAMPONA,Location/MGT1020150168,CRVS_OFFICE
CRVS_MGT1020150169,CEC MIANDRARIVO,Location/MGT1020150169,CRVS_OFFICE
CRVS_MGT1020150170,CEC SOANIERANA,Location/MGT1020150170,CRVS_OFFICE
CRVS_MGT1020150171,CEC TSINJOARIVO-IMANGA,Location/MGT1020150171,CRVS_OFFICE
CRVS_MGT1020150172,CEC TSIROANOMANDIDY FIHAONANA,Location/MGT1020150172,CRVS_OFFICE
CRVS_MGT1020150173,CEC TSIROANOMANDIDY VILLE,Location/MGT1020150173,CRVS_OFFICE
CRVS_MGT1020150174,CEC ANTSAHALAVA,Location/MGT1020150174,CRVS_OFFICE
CRVS_MGT1020150175,CEC FIADANANTSOA,Location/MGT1020150175,CRVS_OFFICE
CRVS_MGT1030160176,CEC ALAKAMISIKELY,Location/MGT1030160176,CRVS_OFFICE
CRVS_MGT1030160177,CEC AMBATOMANGA,Location/MGT1030160177,CRVS_OFFICE
CRVS_MGT1030160178,CEC AMBATOMIRAHAVAVY,Location/MGT1030160178,CRVS_OFFICE
CRVS_MGT1030160179,CEC AMBOANANA,Location/MGT1030160179,CRVS_OFFICE
CRVS_MGT1030160180,CEC AMBOHIMANDRY,Location/MGT1030160180,CRVS_OFFICE
CRVS_MGT1030160181,CEC AMBOHIMASINA,Location/MGT1030160181,CRVS_OFFICE
CRVS_MGT1030160182,CEC AMBOHIPANDRANO,Location/MGT1030160182,CRVS_OFFICE
CRVS_MGT1030160183,CEC AMBOHITRAMBO,Location/MGT1030160183,CRVS_OFFICE
CRVS_MGT1030160184,CEC AMPAHIMANGA,Location/MGT1030160184,CRVS_OFFICE
CRVS_MGT1030160185,CEC ANDRANOMIELY,Location/MGT1030160185,CRVS_OFFICE
CRVS_MGT1030160186,CEC ANTAMBOLO,Location/MGT1030160186,CRVS_OFFICE
CRVS_MGT1030160187,CEC ANTENIMBE,Location/MGT1030160187,CRVS_OFFICE
CRVS_MGT1030160188,CEC ARIVONIMAMO,Location/MGT1030160188,CRVS_OFFICE
CRVS_MGT1030160189,CEC ARIVONIMAMO II,Location/MGT1030160189,CRVS_OFFICE
CRVS_MGT1030160190,CEC IMERINTSIATOSIKA,Location/MGT1030160190,CRVS_OFFICE
CRVS_MGT1030160191,CEC MAHATSINJO EST,Location/MGT1030160191,CRVS_OFFICE
CRVS_MGT1030160192,CEC MANALALONDO,Location/MGT1030160192,CRVS_OFFICE
CRVS_MGT1030160193,CEC MAROFANGADY,Location/MGT1030160193,CRVS_OFFICE
CRVS_MGT1030160194,CEC MIANDRANDRA,Location/MGT1030160194,CRVS_OFFICE
CRVS_MGT1030160195,CEC MIANTSOARIVO,Location/MGT1030160195,CRVS_OFFICE
CRVS_MGT1030160196,CEC MORAFENO,Location/MGT1030160196,CRVS_OFFICE
CRVS_MGT1030160197,CEC MORARANO,Location/MGT1030160197,CRVS_OFFICE
CRVS_MGT1030160198,CEC TALATA TSIMADILO,Location/MGT1030160198,CRVS_OFFICE
CRVS_MGT1030170199,CEC ALATSINAINIKELY,Location/MGT1030170199,CRVS_OFFICE
CRVS_MGT1030170200,CEC AMBATOMANJAKA,Location/MGT1030170200,CRVS_OFFICE
CRVS_MGT1030170201,CEC ANALAVORY,Location/MGT1030170201,CRVS_OFFICE
CRVS_MGT1030170202,CEC ANDOLOFOTSY,Location/MGT1030170202,CRVS_OFFICE
CRVS_MGT1030170203,CEC ANOSIBE-IFANJA,Location/MGT1030170203,CRVS_OFFICE
CRVS_MGT1030170204,CEC ANTOBY EST,Location/MGT1030170204,CRVS_OFFICE
CRVS_MGT1030170205,CEC MANAZARY,Location/MGT1030170205,CRVS_OFFICE
CRVS_MGT1030170206,CEC MANDIAVATO,Location/MGT1030170206,CRVS_OFFICE
CRVS_MGT1030170207,CEC MIARINARIVO,Location/MGT1030170207,CRVS_OFFICE
CRVS_MGT1030170208,CEC MIARINARIVO II,Location/MGT1030170208,CRVS_OFFICE
CRVS_MGT1030170209,CEC SAROBARATRA,Location/MGT1030170209,CRVS_OFFICE
CRVS_MGT1030170210,CEC SOAMAHAMANINA,Location/MGT1030170210,CRVS_OFFICE
CRVS_MGT1030170211,CEC SOAVIMBAZAHA,Location/MGT1030170211,CRVS_OFFICE
CRVS_MGT1030170212,CEC ZOMA BEHALOKA,Location/MGT1030170212,CRVS_OFFICE
CRVS_MGT1030180213,CEC AMBATOASANA CENTRE,Location/MGT1030180213,CRVS_OFFICE
CRVS_MGT1030180214,CEC AMBEROMANGA,Location/MGT1030180214,CRVS_OFFICE
CRVS_MGT1030180215,CEC AMPARAKY,Location/MGT1030180215,CRVS_OFFICE
CRVS_MGT1030180216,CEC AMPARIBOHITRA,Location/MGT1030180216,CRVS_OFFICE
CRVS_MGT1030180217,CEC AMPARY,Location/MGT1030180217,CRVS_OFFICE
CRVS_MGT1030180218,CEC AMPEFY,Location/MGT1030180218,CRVS_OFFICE
CRVS_MGT1030180219,CEC ANKARANANA,Location/MGT1030180219,CRVS_OFFICE
CRVS_MGT1030180220,CEC ANKISABE,Location/MGT1030180220,CRVS_OFFICE
